City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Roros,NO,2021-12-25 06:12:54,62.5747,11.3842,22.84,80,75,18.41
280,Svetlyy,RU,2021-12-25 06:12:54,54.675,20.1347,27.97,59,100,19.04
281,Gazanjyk,TM,2021-12-25 06:12:55,39.2446,55.5154,33.22,100,100,11.18
282,Belmonte,BR,2021-12-25 06:12:55,-15.8631,-38.8828,68.5,96,100,11.61
283,Mwaro,BI,2021-12-25 06:12:55,-3.5,29.6667,58.55,94,100,0.96
284,Lagoa,PT,2021-12-25 06:05:46,39.05,-27.9833,63.7,92,99,36.04
285,Sola,VU,2021-12-25 06:12:56,-13.8833,167.55,82.08,76,78,9.84
286,Bodden Town,KY,2021-12-25 06:12:56,19.2833,-81.25,77.94,74,13,14.81
287,Nanortalik,GL,2021-12-25 06:05:49,60.1432,-45.2371,32.36,72,93,12.35
288,Rancho Veloz,CU,2021-12-25 06:12:56,22.8806,-80.3917,61.29,81,56,9.64
289,Taseyevo,RU,2021-12-25 06:12:57,57.2169,94.8978,1.58,82,90,2.26
290,Spassk,RU,2021-12-25 06:12:57,52.747,87.7545,21.29,74,70,4.56
291,Whitefish,US,2021-12-25 06:12:57,48.4111,-114.3376,28.15,80,90,5.75
